t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
122,1.000000E+000,1.000000E+000,-5.151435E-014,1.430707E+004,6.593837E-009,6.593837E-009
123,1.000000E+000,1.000000E+000,6.172840E-014,1.430707E+004,6.399205E-009,6.399205E-009
124,1.000000E+000,1.000000E+000,-4.440892E-016,1.430707E+004,6.733899E-009,6.733899E-009
125,1.000000E+000,1.000000E+000,2.087219E-014,1.430707E+004,6.593837E-009,6.593837E-009
126,1.000000E+000,1.000000E+000,-4.440892E-016,1.430707E+004,6.504706E-009,6.504706E-009
127,1.000000E+000,1.000000E+000,2.442491E-014,1.430707E+004,6.839400E-009,6.839400E-009
128,1.000000E+000,1.000000E+000,1.332268E-015,1.430707E+004,6.592018E-009,6.592018E-009
129,1.000000E+000,1.000000E+000,2.176037E-014,1.430707E+004,6.748451E-009,6.748451E-009
130,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,6.673872E-009,6.673872E-009
131,1.000000E+000,1.000000E+000,2.664535E-015,1.430707E+004,6.724804E-009,6.724804E-009
132,1.000000E+000,1.000000E+000,7.993606E-015,1.430707E+004,6.881237E-009,6.881237E-009
133,1.000000E+000,1.000000E+000,2.264855E-014,1.430707E+004,6.597475E-009,6.597475E-009
134,1.000000E+000,1.000000E+000,2.753353E-014,1.430707E+004,7.017661E-009,7.017661E-009
135,1.000000E+000,1.000000E+000,-8.881784E-015,1.430707E+004,6.903065E-009,6.903065E-009
136,1.000000E+000,1.000000E+000,2.664535E-015,1.430707E+004,6.988557E-009,6.988557E-009
137,1.000000E+000,1.000000E+000,2.042810E-014,1.430707E+004,7.177732E-009,7.177732E-009
138,1.000000E+000,1.000000E+000,2.087219E-014,1.430707E+004,7.243216E-009,7.243216E-009
139,1.000000E+000,1.000000E+000,3.552714E-015,1.430707E+004,7.361450E-009,7.361450E-009
140,1.000000E+000,1.000000E+000,1.998401E-014,1.430707E+004,7.259587E-009,7.259587E-009
141,1.000000E+000,1.000000E+000,4.884981E-015,1.430707E+004,7.601557E-009,7.601557E-009
142,1.000000E+000,1.000000E+000,1.287859E-014,1.430707E+004,7.403287E-009,7.403287E-009
143,1.000000E+000,1.000000E+000,2.264855E-014,1.430707E+004,7.426934E-009,7.426934E-009
144,1.000000E+000,1.000000E+000,-8.881784E-016,1.430707E+004,7.621566E-009,7.621566E-009
145,1.000000E+000,1.000000E+000,1.154632E-014,1.430707E+004,7.739800E-009,7.739800E-009
146,1.000000E+000,1.000000E+000,2.886580E-014,1.430707E+004,7.476046E-009,7.476046E-009
147,1.000000E+000,1.000000E+000,1.776357E-014,1.430707E+004,7.903509E-009,7.903509E-009
148,1.000000E+000,1.000000E+000,-6.661338E-015,1.430707E+004,7.759809E-009,7.759809E-009
149,1.000000E+000,1.000000E+000,1.021405E-014,1.430707E+004,7.576091E-009,7.576091E-009
150,1.000000E+000,1.000000E+000,4.884981E-015,1.430707E+004,7.790732E-009,7.790732E-009
151,1.000000E+000,1.000000E+000,2.575717E-014,1.430707E+004,7.792551E-009,7.792551E-009
152,1.000000E+000,1.000000E+000,-1.909584E-014,1.430707E+004,7.799827E-009,7.799827E-009
153,1.000000E+000,1.000000E+000,6.927792E-014,1.430707E+004,8.065399E-009,8.065399E-009
154,1.000000E+000,1.000000E+000,0.000000E+000,1.430707E+004,8.052666E-009,8.052666E-009
155,1.000000E+000,1.000000E+000,-2.398082E-014,1.430707E+004,8.023562E-009,8.023562E-009
156,1.000000E+000,1.000000E+000,4.307665E-014,1.430707E+004,8.058123E-009,8.058123E-009
157,1.000000E+000,1.000000E+000,-2.220446E-015,1.430707E+004,7.932613E-009,7.932613E-009
158,1.000000E+000,1.000000E+000,2.264855E-014,1.430707E+004,8.609277E-009,8.609277E-009
159,1.000000E+000,1.000000E+000,1.865175E-014,1.430707E+004,8.220013E-009,8.220013E-009
160,1.000000E+000,1.000000E+000,1.776357E-015,1.430707E+004,8.269126E-009,8.269126E-009
161,1.000000E+000,1.000000E+000,2.309264E-014,1.430707E+004,8.509232E-009,8.509232E-009
162,1.000000E+000,1.000000E+000,-5.773160E-015,1.430707E+004,8.500137E-009,8.500137E-009
163,1.000000E+000,1.000000E+000,1.110223E-014,1.430707E+004,8.416464E-009,8.416464E-009
164,1.000000E+000,1.000000E+000,2.575717E-014,1.430707E+004,8.529241E-009,8.529241E-009
165,1.000000E+000,1.000000E+000,-3.552714E-015,1.430707E+004,8.545612E-009,8.545612E-009
166,1.000000E+000,1.000000E+000,2.620126E-014,1.430707E+004,8.787538E-009,8.787538E-009
167,1.000000E+000,1.000000E+000,-1.021405E-014,1.430707E+004,8.547431E-009,8.547431E-009
168,1.000000E+000,1.000000E+000,1.554312E-014,1.430707E+004,8.685674E-009,8.685674E-009
169,1.000000E+000,1.000000E+000,1.021405E-014,1.430707E+004,9.053110E-009,9.053110E-009
170,1.000000E+000,1.000000E+000,2.664535E-014,1.430707E+004,8.829375E-009,8.829375E-009
171,1.000000E+000,1.000000E+000,5.773160E-015,1.430707E+004,8.858478E-009,8.858478E-009
172,1.000000E+000,1.000000E+000,-6.217249E-015,1.430707E+004,8.720235E-009,8.720235E-009
173,1.000000E+000,1.000000E+000,4.884981E-014,1.430707E+004,8.718416E-009,8.718416E-009
174,1.000000E+000,1.000000E+000,-1.465494E-014,1.430707E+004,9.040377E-009,9.040377E-009
175,1.000000E+000,1.000000E+000,3.952394E-014,1.430707E+004,8.973075E-009,8.973075E-009
176,1.000000E+000,1.000000E+000,5.773160E-015,1.430707E+004,9.069481E-009,9.069481E-009
177,1.000000E+000,1.000000E+000,4.440892E-015,1.430707E+004,9.304131E-009,9.304131E-009
178,1.000000E+000,1.000000E+000,2.842171E-014,1.430707E+004,9.395080E-009,9.395080E-009
179,1.000000E+000,1.000000E+000,-1.110223E-014,1.430707E+004,9.451469E-009,9.451469E-009
180,1.000000E+000,1.000000E+000,1.065814E-014,1.430707E+004,9.355063E-009,9.355063E-009
181,1.000000E+000,1.000000E+000,3.774758E-014,1.430707E+004,9.333235E-009,9.333235E-009
182,1.000000E+000,1.000000E+000,9.769963E-015,1.430707E+004,9.405994E-009,9.405994E-009
183,1.000000E+000,1.000000E+000,5.773160E-015,1.430707E+004,9.642463E-009,9.642463E-009
184,1.000000E+000,1.000000E+000,8.437695E-015,1.430707E+004,9.560608E-009,9.560608E-009
185,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,9.520591E-009,9.520591E-009
186,1.000000E+000,1.000000E+000,5.773160E-015,1.430707E+004,9.791620E-009,9.791620E-009
187,1.000000E+000,1.000000E+000,1.731948E-014,1.430707E+004,9.809810E-009,9.809810E-009
188,1.000000E+000,1.000000E+000,-1.065814E-014,1.430707E+004,9.669748E-009,9.669748E-009
189,1.000000E+000,1.000000E+000,3.952394E-014,1.430707E+004,9.784344E-009,9.784344E-009
190,1.000000E+000,1.000000E+000,-3.996803E-015,1.430707E+004,9.735231E-009,9.735231E-009
191,1.000000E+000,1.000000E+000,2.886580E-014,1.430707E+004,1.013541E-008,1.013541E-008
192,1.000000E+000,1.000000E+000,-2.664535E-015,1.430707E+004,1.008812E-008,1.008812E-008
193,1.000000E+000,1.000000E+000,7.549517E-015,1.430707E+004,1.018634E-008,1.018634E-008
194,1.000000E+000,1.000000E+000,3.153033E-014,1.430707E+004,1.023182E-008,1.023182E-008
195,1.000000E+000,1.000000E+000,2.664535E-015,1.430707E+004,1.010449E-008,1.010449E-008
196,1.000000E+000,1.000000E+000,2.087219E-014,1.430707E+004,1.023909E-008,1.023909E-008
197,1.000000E+000,1.000000E+000,2.220446E-015,1.430707E+004,1.029366E-008,1.029366E-008
198,1.000000E+000,1.000000E+000,1.110223E-014,1.430707E+004,1.012995E-008,1.012995E-008
199,1.000000E+000,1.000000E+000,2.664535E-015,1.430707E+004,1.031003E-008,1.031003E-008
200,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,1.040280E-008,1.040280E-008
201,1.000000E+000,1.000000E+000,2.886580E-014,1.430707E+004,1.052103E-008,1.052103E-008
202,1.000000E+000,1.000000E+000,4.440892E-016,1.430707E+004,1.050648E-008,1.050648E-008
203,1.000000E+000,1.000000E+000,1.465494E-014,1.430707E+004,1.044464E-008,1.044464E-008
204,1.000000E+000,1.000000E+000,2.620126E-014,1.430707E+004,1.056287E-008,1.056287E-008
205,1.000000E+000,1.000000E+000,5.329071E-015,1.430707E+004,1.043009E-008,1.043009E-008
206,1.000000E+000,1.000000E+000,1.243450E-014,1.430707E+004,1.078479E-008,1.078479E-008
207,1.000000E+000,1.000000E+000,-3.108624E-015,1.430707E+004,1.070657E-008,1.070657E-008
208,1.000000E+000,1.000000E+000,8.437695E-015,1.430707E+004,1.100670E-008,1.100670E-008
209,1.000000E+000,1.000000E+000,2.708944E-014,1.430707E+004,1.066473E-008,1.066473E-008
210,1.000000E+000,1.000000E+000,1.687539E-014,1.430707E+004,1.105764E-008,1.105764E-008
211,1.000000E+000,1.000000E+000,0.000000E+000,1.430707E+004,1.103217E-008,1.103217E-008
212,1.000000E+000,1.000000E+000,1.332268E-014,1.430707E+004,1.111766E-008,1.111766E-008
213,1.000000E+000,1.000000E+000,4.884981E-015,1.430707E+004,1.102308E-008,1.102308E-008
214,1.000000E+000,1.000000E+000,9.325873E-015,1.430707E+004,1.108856E-008,1.108856E-008
