t,norm_err,energy_err,energy
262,1.584510E-012,1.365515E-008,1.430707E+004
263,1.597167E-012,1.355329E-008,1.430707E+004
264,1.603384E-012,1.347144E-008,1.430707E+004
265,1.608935E-012,1.358239E-008,1.430707E+004
266,1.623812E-012,1.390799E-008,1.430707E+004
267,1.635581E-012,1.371882E-008,1.430707E+004
268,1.638911E-012,1.391345E-008,1.430707E+004
269,1.644240E-012,1.409717E-008,1.430707E+004
270,1.652012E-012,1.387889E-008,1.430707E+004
271,1.651568E-012,1.413173E-008,1.430707E+004
272,1.654010E-012,1.378976E-008,1.430707E+004
273,1.657785E-012,1.446278E-008,1.430707E+004
274,1.669331E-012,1.405533E-008,1.430707E+004
275,1.676215E-012,1.425906E-008,1.430707E+004
276,1.680212E-012,1.427543E-008,1.430707E+004
277,1.690648E-012,1.455373E-008,1.430707E+004
278,1.692646E-012,1.430089E-008,1.430707E+004
279,1.693312E-012,1.455737E-008,1.430707E+004
280,1.711742E-012,1.456829E-008,1.430707E+004
281,1.715517E-012,1.450644E-008,1.430707E+004
282,1.715961E-012,1.444641E-008,1.430707E+004
283,1.711298E-012,1.493390E-008,1.430707E+004
284,1.728617E-012,1.493208E-008,1.430707E+004
285,1.730172E-012,1.517583E-008,1.430707E+004
286,1.754374E-012,1.493208E-008,1.430707E+004
287,1.749489E-012,1.488479E-008,1.430707E+004
288,1.752154E-012,1.517947E-008,1.430707E+004
289,1.751488E-012,1.490844E-008,1.430707E+004
290,1.756373E-012,1.475564E-008,1.430707E+004
291,1.772138E-012,1.507215E-008,1.430707E+004
292,1.782574E-012,1.514672E-008,1.430707E+004
293,1.778799E-012,1.513035E-008,1.430707E+004
294,1.785683E-012,1.529042E-008,1.430707E+004
295,1.788791E-012,1.538683E-008,1.430707E+004
296,1.802336E-012,1.544322E-008,1.430707E+004
297,1.806999E-012,1.528497E-008,1.430707E+004
298,1.815437E-012,1.530498E-008,1.430707E+004
299,1.818101E-012,1.547414E-008,1.430707E+004
