t,norm_err,energy_err,energy
282,1.865175E-013,1.571152E-010,7.254007E+002
283,1.931788E-013,1.379021E-010,7.254007E+002
284,1.945111E-013,1.547278E-010,7.254007E+002
285,1.896261E-013,1.396074E-010,7.254007E+002
286,1.851852E-013,1.435865E-010,7.254007E+002
287,1.934009E-013,1.624585E-010,7.254007E+002
288,1.909584E-013,1.468834E-010,7.254007E+002
289,2.060574E-013,1.519993E-010,7.254007E+002
290,1.987299E-013,1.501803E-010,7.254007E+002
291,2.042810E-013,1.618901E-010,7.254007E+002
292,2.027267E-013,1.717808E-010,7.254007E+002
293,1.940670E-013,1.607532E-010,7.254007E+002
294,1.978417E-013,1.547278E-010,7.254007E+002
295,1.998401E-013,1.675744E-010,7.254007E+002
296,1.967315E-013,1.496119E-010,7.254007E+002
297,1.907363E-013,1.497256E-010,7.254007E+002
298,2.144951E-013,1.613216E-010,7.254007E+002
299,1.987299E-013,1.664375E-010,7.254007E+002
