t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
201,1.000000E+000,1.000000E+000,-2.664535E-015,7.254007E+002,1.133458E-010,1.133458E-010
202,1.000000E+000,1.000000E+000,2.486900E-014,7.254007E+002,9.742962E-011,9.742962E-011
203,1.000000E+000,1.000000E+000,-8.437695E-015,7.254007E+002,1.087983E-010,1.087983E-010
204,1.000000E+000,1.000000E+000,7.105427E-015,7.254007E+002,1.057288E-010,1.057288E-010
205,1.000000E+000,1.000000E+000,-3.996803E-015,7.254007E+002,9.913492E-011,9.913492E-011
206,1.000000E+000,1.000000E+000,-2.220446E-015,7.254007E+002,1.203944E-010,1.203944E-010
207,1.000000E+000,1.000000E+000,2.664535E-015,7.254007E+002,1.044782E-010,1.044782E-010
208,1.000000E+000,1.000000E+000,6.217249E-015,7.254007E+002,1.159606E-010,1.159606E-010
209,1.000000E+000,1.000000E+000,8.881784E-016,7.254007E+002,1.001581E-010,1.001581E-010
210,1.000000E+000,1.000000E+000,6.661338E-015,7.254007E+002,1.328999E-010,1.328999E-010
211,1.000000E+000,1.000000E+000,-1.021405E-014,7.254007E+002,1.160743E-010,1.160743E-010
212,1.000000E+000,1.000000E+000,-5.773160E-015,7.254007E+002,1.030003E-010,1.030003E-010
213,1.000000E+000,1.000000E+000,1.154632E-014,7.254007E+002,1.159606E-010,1.159606E-010
214,1.000000E+000,1.000000E+000,8.881784E-016,7.254007E+002,1.177796E-010,1.177796E-010
215,1.000000E+000,1.000000E+000,5.773160E-015,7.254007E+002,1.085709E-010,1.085709E-010
216,1.000000E+000,1.000000E+000,6.217249E-015,7.254007E+002,1.066383E-010,1.066383E-010
217,1.000000E+000,1.000000E+000,4.884981E-015,7.254007E+002,9.606538E-011,9.606538E-011
218,1.000000E+000,1.000000E+000,-3.375078E-014,7.254007E+002,1.220997E-010,1.220997E-010
219,1.000000E+000,1.000000E+000,3.774758E-014,7.254007E+002,1.017497E-010,1.017497E-010
220,1.000000E+000,1.000000E+000,-1.598721E-014,7.254007E+002,1.290346E-010,1.290346E-010
221,1.000000E+000,1.000000E+000,-3.552714E-015,7.254007E+002,1.365379E-010,1.365379E-010
222,1.000000E+000,1.000000E+000,1.110223E-014,7.254007E+002,1.007265E-010,1.007265E-010
223,1.000000E+000,1.000000E+000,1.687539E-014,7.254007E+002,1.110720E-010,1.110720E-010
224,1.000000E+000,1.000000E+000,-3.552714E-015,7.254007E+002,1.115268E-010,1.115268E-010
225,1.000000E+000,1.000000E+000,-4.440892E-016,7.254007E+002,1.211902E-010,1.211902E-010
226,1.000000E+000,1.000000E+000,5.773160E-015,7.254007E+002,1.231228E-010,1.231228E-010
227,1.000000E+000,1.000000E+000,-1.776357E-014,7.254007E+002,1.462013E-010,1.462013E-010
228,1.000000E+000,1.000000E+000,7.105427E-015,7.254007E+002,1.331273E-010,1.331273E-010
229,1.000000E+000,1.000000E+000,-1.776357E-015,7.254007E+002,1.185754E-010,1.185754E-010
230,1.000000E+000,1.000000E+000,-2.220446E-015,7.254007E+002,1.251692E-010,1.251692E-010
231,1.000000E+000,1.000000E+000,1.332268E-014,7.254007E+002,1.427907E-010,1.427907E-010
232,1.000000E+000,1.000000E+000,-7.549517E-015,7.254007E+002,1.388116E-010,1.388116E-010
233,1.000000E+000,1.000000E+000,2.886580E-014,7.254007E+002,1.145963E-010,1.145963E-010
234,1.000000E+000,1.000000E+000,-4.440892E-014,7.254007E+002,1.357421E-010,1.357421E-010
235,1.000000E+000,1.000000E+000,2.220446E-014,7.254007E+002,1.269882E-010,1.269882E-010
236,1.000000E+000,1.000000E+000,1.287859E-014,7.254007E+002,1.330136E-010,1.330136E-010
237,1.000000E+000,1.000000E+000,6.661338E-015,7.254007E+002,1.122089E-010,1.122089E-010
238,1.000000E+000,1.000000E+000,-1.376677E-014,7.254007E+002,1.277840E-010,1.277840E-010
239,1.000000E+000,1.000000E+000,1.065814E-014,7.254007E+002,1.224407E-010,1.224407E-010
240,1.000000E+000,1.000000E+000,-1.243450E-014,7.254007E+002,1.266471E-010,1.266471E-010
241,1.000000E+000,1.000000E+000,1.376677E-014,7.254007E+002,1.218723E-010,1.218723E-010
242,1.000000E+000,1.000000E+000,-2.309264E-014,7.254007E+002,1.280114E-010,1.280114E-010
243,1.000000E+000,1.000000E+000,1.021405E-014,7.254007E+002,1.301714E-010,1.301714E-010
244,1.000000E+000,1.000000E+000,1.998401E-014,7.254007E+002,1.216449E-010,1.216449E-010
245,1.000000E+000,1.000000E+000,-1.065814E-014,7.254007E+002,1.227818E-010,1.227818E-010
246,1.000000E+000,1.000000E+000,-1.199041E-014,7.254007E+002,1.261924E-010,1.261924E-010
247,1.000000E+000,1.000000E+000,8.437695E-015,7.254007E+002,1.422222E-010,1.422222E-010
248,1.000000E+000,1.000000E+000,1.110223E-014,7.254007E+002,1.465423E-010,1.465423E-010
249,1.000000E+000,1.000000E+000,1.287859E-014,7.254007E+002,1.100489E-010,1.100489E-010
250,1.000000E+000,1.000000E+000,-2.042810E-014,7.254007E+002,1.048193E-010,1.048193E-010
251,1.000000E+000,1.000000E+000,1.110223E-014,7.254007E+002,1.277840E-010,1.277840E-010
252,1.000000E+000,1.000000E+000,-4.440892E-015,7.254007E+002,1.558647E-010,1.558647E-010
253,1.000000E+000,1.000000E+000,-4.440892E-015,7.254007E+002,1.443823E-010,1.443823E-010
254,1.000000E+000,1.000000E+000,5.329071E-015,7.254007E+002,1.126637E-010,1.126637E-010
255,1.000000E+000,1.000000E+000,1.376677E-014,7.254007E+002,1.446097E-010,1.446097E-010
256,1.000000E+000,1.000000E+000,-4.440892E-015,7.254007E+002,1.190301E-010,1.190301E-010
257,1.000000E+000,1.000000E+000,8.881784E-015,7.254007E+002,1.259650E-010,1.259650E-010
258,1.000000E+000,1.000000E+000,-1.643130E-014,7.254007E+002,1.369926E-010,1.369926E-010
259,1.000000E+000,1.000000E+000,9.325873E-015,7.254007E+002,1.299441E-010,1.299441E-010
260,1.000000E+000,1.000000E+000,4.884981E-015,7.254007E+002,1.350600E-010,1.350600E-010
261,1.000000E+000,1.000000E+000,-7.549517E-015,7.254007E+002,1.285798E-010,1.285798E-010
262,1.000000E+000,1.000000E+000,1.287859E-014,7.254007E+002,1.321041E-010,1.321041E-010
263,1.000000E+000,1.000000E+000,-4.440892E-016,7.254007E+002,1.418812E-010,1.418812E-010
264,1.000000E+000,1.000000E+000,-6.661338E-015,7.254007E+002,1.405169E-010,1.405169E-010
