timestep,timestamp_utc,U,S,T,F,teff_undefined,gpu_temp_c,gpu_power_w,gpu_clock_mhz,is_f_spike,is_thermal_peak
60,2026-02-21T20:02:34.0099954+00:00,0.61962933318432012,0.89616502790560892,1,-0.27653569472128881,0,41,3.71,210,1,0
61,2026-02-21T20:02:36.4392083+00:00,0.62322991316134235,0.89731686075492534,1,-0.27408694759358299,0,41,2.84,210,1,0
62,2026-02-21T20:02:37.5823907+00:00,0.62682380433288953,0.89838738978672406,1,-0.27156358545383452,0,40,2.54,210,1,0
63,2026-02-21T20:02:38.4098428+00:00,0.63034042537348922,0.89944272069206732,1,-0.2691022953185781,0,40,2.54,210,1,0
64,2026-02-21T20:02:39.5671724+00:00,0.63373171100288694,0.90052666062728226,1,-0.26679494962439532,0,40,2.67,210,1,0
65,2026-02-21T20:02:40.3981742+00:00,0.63700262817834818,0.90161988995797826,1,-0.26461726177963008,0,40,2.67,210,1,0
66,2026-02-21T20:02:41.5621411+00:00,0.64018534004819905,0.90271078444840591,1,-0.26252544440020686,0,40,2.64,210,1,0
67,2026-02-21T20:02:42.3888703+00:00,0.64325874743796296,0.90378423616297743,1,-0.26052548872501446,0,40,2.64,210,1,0
68,2026-02-21T20:02:43.5497058+00:00,0.64611307426516085,0.90485528773455515,1,-0.2587422134693943,0,40,2.82,210,1,0
69,2026-02-21T20:02:44.3874921+00:00,0.64863362123510704,0.90599736256696828,1,-0.25736374133186124,0,40,2.82,210,1,0
70,2026-02-21T20:02:45.5705426+00:00,0.65090403465039204,0.90725143426883881,1,-0.25634739961844677,0,40,2.72,210,1,0
71,2026-02-21T20:02:46.7357870+00:00,0.65335385833527115,0.90843279132425991,1,-0.25507893298898876,0,40,2.65,210,1,0
72,2026-02-21T20:02:47.5674895+00:00,0.65660672942457754,0.90928821878371657,1,-0.25268148935913903,0,40,2.65,210,1,0
73,2026-02-21T20:02:48.7273485+00:00,0.66103551674596517,0.90977469032210634,1,-0.24873917357614117,0,40,2.81,210,1,0
